Region,LGA,Ward,Personell,Name,CDP WARD,PILOT WARD
Mara,Tarime District Council ,1  Susuni ,LFO,personal data redacted,,
Mara,Tarime District Council ,2  Mwema ,AEO,personal data redacted,,
Mara,Tarime District Council ,3  Sirari ,LFO,personal data redacted,,
Mara,Tarime District Council ,4  Pemba ,AEO,personal data redacted,,
Mara,Tarime District Council ,5  Nyakonga ,LFO,personal data redacted,,
Mara,Tarime District Council ,6  Nyarero ,AEO,personal data redacted,,
Mara,Tarime District Council ,7  Nyamwaga ,LFO,personal data redacted,CDP,pulse
Mara,Tarime District Council ,8  Muriba ,LFO,personal data redacted,CDP,
Mara,Tarime District Council ,9  Nyanungu ,AEO,personal data redacted,CDP,Continuous  
Mara,Tarime District Council ,10  Gorong'a ,AEO,personal data redacted,CDP,Continuous  
Mara,Tarime District Council ,11  Nyarokoba ,AEO,personal data redacted,,
Mara,Tarime District Council ,12  Kemambo ,LFO,personal data redacted,,
Mara,Tarime District Council ,13  Kibasuka ,LFO,personal data redacted,,
Mara,Tarime District Council ,14  Binagi ,LFO,personal data redacted,,
Mara,Tarime District Council ,15  Matongo ,LFO,personal data redacted,,
Mara,Tarime District Council ,16  Manga ,LFO,personal data redacted,,
Mara,Tarime District Council ,17  Bumera ,AEO,personal data redacted,,
Mara,Tarime District Council ,18  Komaswa ,LFO,personal data redacted,,
Mara,Tarime District Council ,19  Kiore ,AEO,personal data redacted,,
Mara,Tarime District Council ,20  Mbogi,AEO,personal data redacted,,
Mara,Tarime District Council ,21  Ganyange,LFO,personal data redacted,,
Mara,Tarime District Council ,22  Nyansincha ,AEO,personal data redacted,,
Mara,Tarime District Council ,23  Itiryo ,AEO,personal data redacted,CDP,Continuous  
Mara,Tarime District Council ,24 Gwitiro,LFO,personal data redacted,,
Mara,Tarime District Council ,25 Regicheli,LFO,personal data redacted,,
Mara,Tarime Town Council ,1  Turwa ,AEO,,,
Mara,Tarime Town Council ,2  Bomani ,AEO,,,
Mara,Tarime Town Council ,3  Nyandoto ,AEO,,,
Mara,Tarime Town Council ,4  Sabasaba ,AEO,,,
Mara,Tarime Town Council ,5  Nyamisangura ,AEO,,,
Mara,Tarime Town Council ,6  Kentare ,LFO,personal data redacted,,
Mara,Tarime Town Council ,7 Kenyamanyori,AEO,,,
Mara,Tarime Town Council ,8 Inkende,AEO,,,
Mara,Serengeti District Council,1  Kenyamonta ,AEO,personal data redacted,,
Mara,Serengeti District Council,2  Busawe ,LFO,personal data redacted,,
Mara,Serengeti District Council,3  Kisaka ,LFO,personal data redacted,,
Mara,Serengeti District Council,4  Kebanchabancha ,AEO,personal data redacted,,
Mara,Serengeti District Council,5  Ring'wani ,AEO,personal data redacted,,
Mara,Serengeti District Council,6  Rung'abure ,LFO,personal data redacted,,
Mara,Serengeti District Council,7  Machochwe ,AEO,personal data redacted,CDP,
Mara,Serengeti District Council,8  Kisangura ,LFO,personal data redacted,CDP,
Mara,Serengeti District Council,9  Mugumu ,None,,CDP,
Mara,Serengeti District Council,10  Ikoma ,AEO,personal data redacted,CDP,
Mara,Serengeti District Council,11  Natta ,LFO,personal data redacted,CDP,
Mara,Serengeti District Council,12  Issenye ,LFO,personal data redacted,CDP,
Mara,Serengeti District Council,13  Rigicha ,AEO,personal data redacted,,
Mara,Serengeti District Council,14  Nyambureti ,AEO,personal data redacted,,
Mara,Serengeti District Council,15  Nyamoko ,AEO,personal data redacted,,
Mara,Serengeti District Council,16  Manchira ,LFO,personal data redacted,CDP,
Mara,Serengeti District Council,17  Kyambahi ,LFO,personal data redacted,CDP,
Mara,Serengeti District Council,18  Nyamatare ,AEO,personal data redacted,,
Mara,Serengeti District Council,19  Majimoto ,AEO,personal data redacted,,
Mara,Serengeti District Council,20  Magange ,AEO,personal data redacted,,
Mara,Serengeti District Council,21  Nyansurura ,AEO,personal data redacted,CDP,
Mara,Serengeti District Council,22  Mosongo ,AEO,personal data redacted,,
Mara,Serengeti District Council,23  Sedeco ,LFO,personal data redacted,CDP,
Mara,Serengeti District Council,24  Mbalibali ,AEO,personal data redacted,CDP,
Mara,Serengeti District Council,25  Stendi Kuu ,None,,CDP,
Mara,Serengeti District Council,26 Geitasamo ,AEO,personal data redacted,,
Mara,Serengeti District Council,27  Morotonga,LFO,personal data redacted,CDP,
Mara,Serengeti District Council,28  Uwanja wa Ndege ,LFO,personal data redacted,CDP,
Mara,Serengeti District Council,29 Makundusi,LFO,personal data redacted,,
Mara,Bunda District Council,1 Nyamuswa,PLFO,personal data redacted,CDP,
Mara,Bunda District Council,2 Salama,AFO,personal data redacted,CDP,
Mara,Bunda District Council,3 Mihingo,AFO,personal data redacted,CDP,
Mara,Bunda District Council,4 Mugeta,PLFO,personal data redacted,CDP,
Mara,Bunda District Council,5 Hunyari,PLFO,personal data redacted,CDP,
Mara,Bunda District Council,6 Butimba,AFO,personal data redacted,,
Mara,Bunda District Council,7 Neruma,PLFO,personal data redacted,,
Mara,Bunda District Council,8 Kibara,AFO,personal data redacted,,
Mara,Bunda District Council,9 Nansimo,AFO,personal data redacted,,
Mara,Bunda District Council,10 Kisorya,LFO,personal data redacted,,
Mara,Bunda District Council,11 Igundu,AFO,personal data redacted,,
Mara,Bunda District Council,12 Iramba,AFO,personal data redacted,,
Mara,Bunda District Council,13 Namhula,AFO,personal data redacted,,
Mara,Bunda District Council,14 Nampindi,AFO,personal data redacted,,
Mara,Bunda District Council,15 Chitengure,AFO,personal data redacted,,
Mara,Bunda District Council,16 Kasuguti,AFO,personal data redacted,,
Mara,Bunda District Council,17 Nyamang'uta,AFO,personal data redacted,,
Mara,Bunda District Council,18 Ketare,AFO,personal data redacted,,
Mara,Bunda District Council,19 Nyamihoro,AFO,personal data redacted,,
Mara,Bunda Town Council,1 Mcharo,LFO,personal data redacted,,
Mara,Bunda Town Council,2 Sazira,LFO,personal data redacted,,
Mara,Bunda Town Council,3 Kunzugu,LFO,personal data redacted,CDP,
Mara,Bunda Town Council,4 Bunda Mjini,LFO,personal data redacted,CDP,
Mara,Bunda Town Council,5 Guta,LFO,personal data redacted,,
Mara,Bunda Town Council,6 Wariku,LFO,personal data redacted,,
Mara,Bunda Town Council,7 Balili,LFO,personal data redacted,CDP,
Mara,Bunda Town Council,8 Bunda Stoo,LFO,personal data redacted,CDP,
Mara,Bunda Town Council,9 Nyansura,LFO,personal data redacted,CDP,
Mara,Bunda Town Council,10 Nyamakokoto,LFO,personal data redacted,,
Mara,Bunda Town Council,11 Nyatwali,LFO,personal data redacted,CDP,
Mara,Bunda Town Council,12 Kabarimu,LFO,personal data redacted,,
Mara,Bunda Town Council,13 Kabasa,LFO,personal data redacted,,
Mara,Bunda Town Council,14 Manyamanyama,LFO,,CDP,
Mara,Musoma Municipal Council,1 Kigera,LFO,personal data redacted,,
Mara,Musoma Municipal Council,2 Nyasho,LFO,personal data redacted,,
Mara,Musoma Municipal Council,3 Kwangwa,None,,,
Mara,Musoma Municipal Council,4 Mshikamano,LFO,personal data redacted,,
Mara,Musoma Municipal Council,5 Buhare,LFO,personal data redacted,,
